"id","manz_ccnct","cod_barr","barrio","zona","y_pred21","y_pred21_red","y_pred20","y_pred20_red","y_pred19","y_pred19_red","y_pred18","y_pred18_red","n2017","n2016","n2015","n2014","n2013","n2012","n2011","n2010"
881,"7600110000000002200109","0295","Urbanizacion La Flora","La Flora",1.07155367874216,1,1.49550147928994,1,1.02941482726413,1,0.906924622668984,1,0,2,1,3,1,3,0,2
882,"7600110000000002200104","0295","Urbanizacion La Flora","La Flora",1.54663858439197,2,1.83415811965811,2,2.2932499817771,2,1.71473518864242,2,3,1,1,3,4,1,1,4
883,"7600110000000002200102","0295","Urbanizacion La Flora","La Flora",3.05709157509157,3,4.46891523433831,4,3.04858363858363,3,3.84461599511599,4,3,1,4,5,4,3,3,1
884,"7600110000000002200105","0295","Urbanizacion La Flora","La Flora",1.7080702075702,2,0.892580146948568,1,3.40027637767815,3,1.50047957597957,2,2,4,0,4,2,1,2,1
885,"7600110000000002200106","0295","Urbanizacion La Flora","La Flora",0.253849112515595,0,1.74325161238462,2,0.494340688644122,0,1.36486462796819,1,0,0,1,1,0,3,1,2
886,"7600110000000002200107","0295","Urbanizacion La Flora","La Flora",0.735716899351849,1,0.846279217766921,1,1.2244136566425,1,0.79217068135909,1,0,2,1,0,1,1,2,0
887,"7600110000000002200113","0295","Urbanizacion La Flora","La Flora",0.737910003147322,1,0.794642788679368,1,0.801944118817787,1,1.00142351596818,1,1,1,1,0,2,0,1,0
888,"7600110000000002200115","0295","Urbanizacion La Flora","La Flora",0.779594477453765,1,0.447219275539596,0,0.209175508859714,0,0.445149544193438,0,0,0,2,2,0,0,0,0
889,"7600110000000002200116","0295","Urbanizacion La Flora","La Flora",0.953912387053712,1,1.33580534674774,1,0.648118915005871,1,0.529661975216272,1,0,1,1,3,0,0,0,0
890,"7600110000000002200203","0295","Urbanizacion La Flora","La Flora",0.122287126439157,0,0.17144355438528,0,0.17152539366004,0,0.315718028068258,0,0,0,0,0,0,1,1,0
891,"7600110000000002200202","0295","Urbanizacion La Flora","La Flora",0.312053033045411,0,0.235200678813036,0,0.42908069822724,0,0.515729053323524,1,1,1,0,0,0,0,0,1
